A Doll's House,Henrik Ibsen,http://www.sparknotes.com/lit/dollhouse/summary.html
A Midsummer Night's Dream,William Shakespeare,http://www.sparknotes.com/shakespeare/msnd/summary.html
A Portrait of the Artist as a Young Man,James Joyce,http://www.sparknotes.com/lit/portraitartist/summary.html
A Tale of Two Cities,Charles Dickens,http://www.sparknotes.com/lit/twocities/summary.html
Adam Bede,George Eliot,http://www.sparknotes.com/lit/adambede/summary.html
An Ideal Husband,Oscar Wilde,http://www.sparknotes.com/drama/idealhusband/summary.html
Anna Karenina,Leo Tolstoy,http://www.sparknotes.com/lit/anna/summary.html
Anne of Green Gables,L. M. Montgomery,http://www.sparknotes.com/lit/anneofgreengables/summary.html
Antony and Cleopatra,William Shakespeare,http://www.sparknotes.com/shakespeare/antony/summary.html
As You Like It,William Shakespeare,http://www.sparknotes.com/shakespeare/asyoulikeit/summary.html
Babbitt,Sinclair Lewis,http://www.sparknotes.com/lit/babbitt/summary.html
Bleak House,Charles Dickens,http://www.sparknotes.com/lit/bleakhouse/summary.html
Candide,Voltaire,http://www.sparknotes.com/lit/candide/summary.html
Cyrano de Bergerac,Edmond Rostand,http://www.sparknotes.com/lit/cyrano/summary.html
Don Quixote,Miguel de Cervantes,http://www.sparknotes.com/lit/donquixote/summary.html
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,http://www.sparknotes.com/lit/jekyll/summary.html
Dracula,Bram Stoker,http://www.sparknotes.com/lit/dracula/summary.html
Dubliners,James Joyce,http://www.sparknotes.com/lit/dubliners/summary.html
Emma,Jane Austen,http://www.sparknotes.com/lit/emma/summary.html
Ethan Frome,Edith Wharton,http://www.sparknotes.com/lit/frome/summary.html
Far from the Madding Crowd,Thomas Hardy,http://www.sparknotes.com/lit/maddingcrowd/summary.html
Ghosts,Henrik Ibsen,http://www.sparknotes.com/lit/ghosts/summary.html
Great Expectations,Charles Dickens,http://www.sparknotes.com/lit/greatex/summary.html
Hamlet,William Shakespeare,http://www.sparknotes.com/shakespeare/hamlet/summary.html
Hard Times,Charles Dickens,http://www.sparknotes.com/lit/hardtimes/summary.html
Heart of Darkness,Joseph Conrad,http://www.sparknotes.com/lit/heart/summary.html
Hedda Gabler,Henrik Ibsen,http://www.sparknotes.com/lit/heddagabler/summary.html
Henry IV Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt1/summary.html
Henry IV Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry4pt2/summary.html
Henry V,William Shakespeare,http://www.sparknotes.com/shakespeare/henryv/summary.html
Henry VI Part 1,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt1/summary.html
Henry VI Part 2,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt2/summary.html
Henry VI Part 3,William Shakespeare,http://www.sparknotes.com/shakespeare/henry6pt3/summary.html
Henry VIII,William Shakespeare,http://www.sparknotes.com/shakespeare/henryviii/summary.html
Herland,Charlotte Perkins Gilman,http://www.sparknotes.com/lit/herland/summary.html
Howards End,E. M. Forster,http://www.sparknotes.com/lit/howardsend/summary.html
Jude the Obscure,Thomas Hardy,http://www.sparknotes.com/lit/jude/summary.html
Julius Caesar,William Shakespeare,http://www.sparknotes.com/shakespeare/juliuscaesar/summary.html
Kidnapped,Robert Louis Stevenson,http://www.sparknotes.com/lit/kidnapped/summary.html
King John,William Shakespeare,http://www.sparknotes.com/shakespeare/kingjohn/summary.html
King Lear,William Shakespeare,http://www.sparknotes.com/shakespeare/lear/summary.html
Little Women,Louisa May Alcott,http://www.sparknotes.com/lit/littlewomen/summary.html
Lord Jim,Joseph Conrad,http://www.sparknotes.com/lit/lordjim/summary.html
Love's Labours Lost,William Shakespeare,http://www.sparknotes.com/shakespeare/labours/summary.html
Lysistrata,Aristophanes,http://www.sparknotes.com/drama/lysistrata/summary.html
Macbeth,William Shakespeare,http://www.sparknotes.com/shakespeare/macbeth/summary.html
Madame Bovary,Gustave Flaubert,http://www.sparknotes.com/lit/bovary/summary.html
Maggie: A Girl of the Streets,Stephen Crane,http://www.sparknotes.com/lit/maggie/summary.html
Main Street,Sinclair Lewis,http://www.sparknotes.com/lit/mainstreet/summary.html
Major Barbara,George Bernard Shaw,http://www.sparknotes.com/drama/majorbarbara/summary.html
Mansfield Park,Jane Austen,http://www.sparknotes.com/lit/mansfieldpark/summary.html
Measure for Measure,William Shakespeare,http://www.sparknotes.com/shakespeare/measure/summary.html
Middlemarch,George Eliot,http://www.sparknotes.com/lit/middlemarch/summary.html
Much Ado About Nothing,William Shakespeare,http://www.sparknotes.com/shakespeare/muchado/summary.html
Narrative of the Life of Frederick Douglass,Frederick Douglass,http://www.sparknotes.com/lit/narrative/summary.html
Northanger Abbey,Jane Austen,http://www.sparknotes.com/lit/northangerabbey/summary.html
O Pioneers!,Willa Cather,http://www.sparknotes.com/lit/opioneers/summary.html
Oliver Twist,Charles Dickens,http://www.sparknotes.com/lit/oliver/summary.html
Othello,William Shakespeare,http://www.sparknotes.com/shakespeare/othello/summary.html
Paradise Lost,John Milton,http://www.sparknotes.com/poetry/paradiselost/summary.html
Persuasion,Jane Austen,http://www.sparknotes.com/lit/persuasion/summary.html
Pride and Prejudice,Jane Austen,http://www.sparknotes.com/lit/pride/summary.html
Pygmalion,George Bernard Shaw,http://www.sparknotes.com/lit/pygmalion/summary.html
Richard II,William Shakespeare,http://www.sparknotes.com/shakespeare/richardii/summary.html
Romeo and Juliet,William Shakespeare,http://www.sparknotes.com/shakespeare/romeojuliet/summary.html
Sense and Sensibility,Jane Austen,http://www.sparknotes.com/lit/sensibility/summary.html
Siddhartha,Hermann Hesse,http://www.sparknotes.com/lit/siddhartha/summary.html
Silas Marner,George Eliot,http://www.sparknotes.com/lit/silas/summary.html
Sister Carrie,Theodore Dreiser,http://www.sparknotes.com/lit/sistercarrie/summary.html
Spanish Tragedy,Thomas Kyd,http://www.sparknotes.com/drama/spanishtragedy/summary.html
Swann's Way,Marcel Proust,http://www.sparknotes.com/lit/swannsway/summary.html
The Adventures of Tom Sawyer,Mark Twain,http://www.sparknotes.com/lit/tomsawyer/summary.html
The Aeneid,Virgil,http://www.sparknotes.com/lit/aeneid/summary.html
The American,Henry James,http://www.sparknotes.com/lit/american/summary.html
The Comedy of Errors,William Shakespeare,http://www.sparknotes.com/shakespeare/errors/summary.html
The Count of Monte Cristo,Alexandre Dumas,http://www.sparknotes.com/lit/montecristo/summary.html
The House of Mirth,Edith Wharton,http://www.sparknotes.com/lit/mirth/summary.html
The House of the Seven Gables,Nathaniel Hawthorne,http://www.sparknotes.com/lit/sevengables/summary.html
The Iliad,Homer,http://www.sparknotes.com/lit/iliad/summary.html
The Jew of Malta,Christopher Marlowe,http://www.sparknotes.com/drama/jewofmalta/summary.html
The Jungle,Upton Sinclair,http://www.sparknotes.com/lit/jungle/summary.html
The Last of the Mohicans,James Fenimore Cooper,http://www.sparknotes.com/lit/mohicans/summary.html
The Mayor of Casterbridge,Thomas Hardy,http://www.sparknotes.com/lit/casterbridge/summary.html
The Merchant of Venice,William Shakespeare,http://www.sparknotes.com/shakespeare/merchant/summary.html
The Merry Wives of Windsor,William Shakespeare,http://www.sparknotes.com/shakespeare/merrywives/summary.html
The Picture of Dorian Gray,Oscar Wilde,http://www.sparknotes.com/lit/doriangray/summary.html
The Portrait of a Lady,Henry James,http://www.sparknotes.com/lit/portraitlady/summary.html
The Republic,Plato,http://www.sparknotes.com/philosophy/republic/summary.html
The Return of the Native,Thomas Hardy,http://www.sparknotes.com/lit/returnofnative/summary.html
The Scarlet Letter,Nathaniel Hawthorne,http://www.sparknotes.com/lit/scarlet/summary.html
The Secret Garden,Frances Hodgson Burnett,http://www.sparknotes.com/lit/secretgarden/summary.html
The Taming of the Shrew,William Shakespeare,http://www.sparknotes.com/shakespeare/shrew/summary.html
The Tempest,William Shakespeare,http://www.sparknotes.com/shakespeare/tempest/summary.html
The Three Musketeers,Alexandre Dumas,http://www.sparknotes.com/lit/3musk/summary.html
The Trial,Franz Kafka,http://www.sparknotes.com/lit/trial/summary.html
The Turn of the Screw,Henry James,http://www.sparknotes.com/lit/screw/summary.html
The Two Gentlemen of Verona,William Shakespeare,http://www.sparknotes.com/shakespeare/twogentlemen/summary.html
The Winter's Tale,William Shakespeare,http://www.sparknotes.com/shakespeare/winterstale/summary.html
This Side of Paradise,F. Scott Fitzgerald,http://www.sparknotes.com/lit/paradise/summary.html
Timon of Athens,William Shakespeare,http://www.sparknotes.com/shakespeare/timonofathens/summary.html
Titus Andronicus,William Shakespeare,http://www.sparknotes.com/shakespeare/titus/summary.html
Treasure Island,Robert Louis Stevenson,http://www.sparknotes.com/lit/treasure/summary.html
Troilus and Cressida,William Shakespeare,http://www.sparknotes.com/shakespeare/troilus/summary.html
Twelfth Night,William Shakespeare,http://www.sparknotes.com/shakespeare/twelfthnight/summary.html
Typee,Herman Melville,http://www.sparknotes.com/lit/typee/summary.html
Ulysses,James Joyce,http://www.sparknotes.com/lit/ulysses/summary.html
Uncle Tom&rsquo;s Cabin,Harriet Beecher Stowe,http://www.sparknotes.com/lit/uncletom/summary.html
War and Peace,Leo Tolstoy,http://www.sparknotes.com/lit/warandpeace/summary.html
White Fang,Jack London,http://www.sparknotes.com/lit/fang/summary.html
